result,table,_start,_stop,_time,_value,_field,_measurement,sensor
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.566419+00:00,10.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.590509+00:00,29.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.603608+00:00,49.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.615196+00:00,69.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.627075+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.638965+00:00,100.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.650469+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.661998+00:00,85.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.673804+00:00,70.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.685373+00:00,55.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.698453+00:00,22.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.710444+00:00,0.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.843916+00:00,10.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.856827+00:00,29.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.862928+00:00,10.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.869487+00:00,49.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.875601+00:00,29.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.875835+00:00,10.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.882000+00:00,69.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.888543+00:00,49.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.888546+00:00,29.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.895719+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.901986+00:00,49.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.902158+00:00,69.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.908669+00:00,100.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.915036+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.915039+00:00,69.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.920870+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.928615+00:00,80.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.935815+00:00,100.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.938670+00:00,85.0,value,metricas,buffer
