imagen,resultado
buffer_simil_negro_rectangulo.png,"[8.684872421197625, 29.828079249149468]"
buffer_80_porciento_latas.png,"[25.727084681918132, 49.01683667433257]"
buffer_50_porciento_rojo.png,"[0.7010926683510921, 10.871813281388015]"
buffer_75_porciento_rojo.png,"[4.010459239721138, 20.678161999978823]"
buffer_tapas_plasticas_transparentes_verdes.png,"[17.868549253428256, 37.69941523308742]"
buffer_40_porciento_azul.png,"[12.900322709427423, 31.880382846241208]"
buffer_bandeja_comida2.png,"[1.4319860655631156, 9.690076789538457]"
buffer_caja_leche.png,"[5.366192460373734, 16.591926725447763]"
buffer_100_porciento_mezcla.png,"[44.0384123774465, 78.84687547301517]"
buffer_50_porciento_latas.png,"[17.7318451717579, 38.55404160066704]"
buffer_simil_cubiertas.png,"[7.633784285929616, 19.58991528346709]"
buffer_tapas_plasticas_transparentes.png,"[6.024159859533199, 18.157187287369272]"
buffer_bandeja_comida.png,"[0.9842009053466336, 5.660019532737503]"
buffer_simil_negro_rectangulo_2.png,"[24.923412039887573, 47.27173058500977]"
buffer_mas_bolsas.png,"[1.9429798412500487, 12.235553780231236]"
buffer_simil_negro_cuadraditos.png,"[26.690702035317997, 49.504421752476766]"
buffer_25_porciento_rojo.png,"[0.25641886445903433, 3.6883414800036642]"
buffer_80_porciento_azul.png,"[32.041370971319026, 56.9252751610395]"
buffer_simil_cubiertas_2.png,"[6.9625014883731975, 19.38001533924594]"
buffer_80_porciento_mezcla.png,"[30.202928734563, 52.36349919693419]"
buffer_20_porciento_azul.png,"[7.1291970870260055, 19.965649646992006]"
buffer_30_porciento_latas.png,"[11.070954845830656, 23.78203602697272]"
buffer_gomas.png,"[1.2315418543068444, 7.673523309513901]"
buffer_60_porciento_azul.png,"[20.909920924630907, 46.52051896534321]"
buffer_90_porciento_rojo.png,"[4.674704082500236, 29.079830205570627]"
buffer_vacio.png,"[0.3159325191162812, 2.4006970829084753]"
buffer_tapas_plasticas_verde.png,"[5.486494654615926, 23.724798580318936]"
buffer_bolsas.png,"[1.6233571741324417, 12.94011674232205]"
