imagen,resultado
buffer_simil_negro_rectangulo.png,"[4.203344870333476, 11.037364459791302, 0.0, 60.78961215506791]"
buffer_80_porciento_latas.png,"[18.624607498472827, 19.9745340154512, 3.3496912965957915, 82.03739956151183]"
buffer_50_porciento_rojo.png,"[0.9400564513993761, 4.948878201070468, 0.0, 47.18650045008584]"
buffer_75_porciento_rojo.png,"[0.3314056436688689, 8.594123715723228, 0.0, 70.61520976290458]"
buffer_tapas_plasticas_transparentes_verdes.png,"[4.610685713240013, 25.613370720590456, 0.0, 67.24023769659914]"
buffer_40_porciento_azul.png,"[13.39980134873015, 14.964355521037998, 0.04292110288801732, 57.65520624610369]"
buffer_bandeja_comida2.png,"[0.19052387428366385, 1.377254960425864, 0.003915969938939161, 57.724476218303934]"
buffer_caja_leche.png,"[0.42979004754547834, 8.075721073494373, 0.0, 38.66074327179587]"
buffer_100_porciento_mezcla.png,"[29.096739986389604, 33.5430609698396, 0.41583796018058794, 97.46615608057682]"
buffer_50_porciento_latas.png,"[11.89149458606015, 14.186247103334171, 2.2091707568031436, 74.41931789810764]"
buffer_simil_cubiertas.png,"[4.631103878941518, 10.186911250783732, 0.11078934218604591, 43.45989653970779]"
buffer_tapas_plasticas_transparentes.png,"[0.6740902105747487, 10.43742624322299, 0.0, 44.00437429390955]"
buffer_bandeja_comida.png,"[0.17840463394397937, 1.5005697754997245, 0.0, 35.43871584860897]"
buffer_simil_negro_rectangulo_2.png,"[14.062292450432109, 26.66949539220941, 0.17914150206317403, 78.69942971045627]"
buffer_mas_bolsas.png,"[0.9908820683734961, 2.606791244416952, 0.0, 40.39575890032169]"
buffer_simil_negro_cuadraditos.png,"[14.992453234958347, 28.681413489283063, 0.0, 76.60136367335099]"
buffer_25_porciento_rojo.png,"[0.05401570172862417, 0.5562872011019279, 0.0, 36.09479852329221]"
buffer_80_porciento_azul.png,"[18.410876633438424, 20.786843780091935, 0.07190352916262162, 74.92532152133774]"
buffer_simil_cubiertas_2.png,"[4.2391912785378345, 8.196265875788358, 0.08339774604677883, 45.41580533979984]"
buffer_80_porciento_mezcla.png,"[19.900312562280263, 23.4682519244277, 0.23216360004669928, 76.54778834771469]"
buffer_20_porciento_azul.png,"[5.773237342647857, 11.218992199138336, 0.07501605056682632, 46.62329979117322]"
buffer_30_porciento_latas.png,"[5.878010238389019, 10.3334678840287, 1.3583702036212335, 52.05721287545161]"
buffer_gomas.png,"[0.17480800373479513, 3.375914331092282, 0.0, 35.814013351469285]"
buffer_60_porciento_azul.png,"[16.68948975524182, 17.70117385979167, 0.07691830072333729, 69.84597721783578]"
buffer_90_porciento_rojo.png,"[0.4814240472914795, 10.504284258545432, 0.0, 75.83898228174823]"
buffer_vacio.png,"[0.0, 0.2552787326717696, 0.0, 21.75370510992399]"
buffer_tapas_plasticas_verde.png,"[2.5602321591567176, 10.50815646314827, 0.0, 51.75380434111132]"
buffer_bolsas.png,"[0.2805366481929174, 1.5512937188665774, 0.0, 32.00041577745087]"
